kernel,sweep,compute_scale,bandwidth_scale,request_roofline_gflops,predicted_limit,measured_a100_gflops,measured_a100_dram_percent
naive,compute,0.25,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,0.50,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,0.75,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,1.00,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,1.50,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,2.00,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,3.00,1.00,483.631965,bandwidth,3025.102135,0.38
naive,compute,4.00,1.00,483.631965,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,0.25,120.907991,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,0.50,241.815982,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,0.75,362.723974,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,1.00,483.631965,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,1.50,725.447947,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,2.00,967.263930,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,3.00,1450.895895,bandwidth,3025.102135,0.38
naive,bandwidth,1.00,4.00,1934.527860,bandwidth,3025.102135,0.38
tiled16,compute,0.25,1.00,4875.000000,compute,4638.113320,0.57
tiled16,compute,0.50,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,compute,0.75,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,compute,1.00,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,compute,1.50,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,compute,2.00,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,compute,3.00,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,compute,4.00,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,0.25,1927.470915,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,0.50,3854.941830,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,0.75,5782.412745,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,1.00,7709.883660,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,1.50,11564.825490,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,2.00,15419.767320,bandwidth,4638.113320,0.57
tiled16,bandwidth,1.00,3.00,19500.000000,compute,4638.113320,0.57
tiled16,bandwidth,1.00,4.00,19500.000000,compute,4638.113320,0.57
microtile2x2,compute,0.25,1.00,4875.000000,compute,8997.032608,1.21
microtile2x2,compute,0.50,1.00,9750.000000,compute,8997.032608,1.21
microtile2x2,compute,0.75,1.00,14625.000000,compute,8997.032608,1.21
microtile2x2,compute,1.00,1.00,15359.999040,bandwidth,8997.032608,1.21
microtile2x2,compute,1.50,1.00,15359.999040,bandwidth,8997.032608,1.21
microtile2x2,compute,2.00,1.00,15359.999040,bandwidth,8997.032608,1.21
microtile2x2,compute,3.00,1.00,15359.999040,bandwidth,8997.032608,1.21
microtile2x2,compute,4.00,1.00,15359.999040,bandwidth,8997.032608,1.21
microtile2x2,bandwidth,1.00,0.25,3839.999760,bandwidth,8997.032608,1.21
microtile2x2,bandwidth,1.00,0.50,7679.999520,bandwidth,8997.032608,1.21
microtile2x2,bandwidth,1.00,0.75,11519.999280,bandwidth,8997.032608,1.21
microtile2x2,bandwidth,1.00,1.00,15359.999040,bandwidth,8997.032608,1.21
microtile2x2,bandwidth,1.00,1.50,19500.000000,compute,8997.032608,1.21
microtile2x2,bandwidth,1.00,2.00,19500.000000,compute,8997.032608,1.21
microtile2x2,bandwidth,1.00,3.00,19500.000000,compute,8997.032608,1.21
microtile2x2,bandwidth,1.00,4.00,19500.000000,compute,8997.032608,1.21
microtile4x1,compute,0.25,1.00,4875.000000,compute,8845.943238,1.25
microtile4x1,compute,0.50,1.00,9750.000000,compute,8845.943238,1.25
microtile4x1,compute,0.75,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,compute,1.00,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,compute,1.50,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,compute,2.00,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,compute,3.00,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,compute,4.00,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,bandwidth,1.00,0.25,3076.769970,bandwidth,8845.943238,1.25
microtile4x1,bandwidth,1.00,0.50,6153.539940,bandwidth,8845.943238,1.25
microtile4x1,bandwidth,1.00,0.75,9230.309910,bandwidth,8845.943238,1.25
microtile4x1,bandwidth,1.00,1.00,12307.079880,bandwidth,8845.943238,1.25
microtile4x1,bandwidth,1.00,1.50,18460.619820,bandwidth,8845.943238,1.25
microtile4x1,bandwidth,1.00,2.00,19500.000000,compute,8845.943238,1.25
microtile4x1,bandwidth,1.00,3.00,19500.000000,compute,8845.943238,1.25
microtile4x1,bandwidth,1.00,4.00,19500.000000,compute,8845.943238,1.25
