kernel,register_file_scale,resident_blocks,resident_warps,theoretical_occupancy_percent,limiting_resources
naive,0.50,4,32,50.00,registers
naive,0.75,6,48,75.00,registers
naive,1.00,8,64,100.00,threads;warps;registers
naive,1.50,8,64,100.00,threads;warps
naive,2.00,8,64,100.00,threads;warps
tiled16,0.50,4,32,50.00,registers
tiled16,0.75,6,48,75.00,registers
tiled16,1.00,8,64,100.00,threads;warps;registers
tiled16,1.50,8,64,100.00,threads;warps
tiled16,2.00,8,64,100.00,threads;warps
microtile2x2,0.50,3,24,37.50,registers
microtile2x2,0.75,4,32,50.00,registers
microtile2x2,1.00,6,48,75.00,registers
microtile2x2,1.50,8,64,100.00,threads;warps
microtile2x2,2.00,8,64,100.00,threads;warps
microtile4x1,0.50,2,16,25.00,registers
microtile4x1,0.75,4,32,50.00,registers
microtile4x1,1.00,5,40,62.50,registers
microtile4x1,1.50,8,64,100.00,threads;warps;registers
microtile4x1,2.00,8,64,100.00,threads;warps
